,thumbnail,title,category,date,link
0,userfiles/image/content_article/1673603542/1673603542.jpg?1673603542,"
Sinopsis Film Elvis : Biografi Sang Legenda King Rock and Roll
",ENTERTAINMENT,Jumat 13 Januari 2023 16:47 WIB,https://www.mncvision.id/article/read/content_article/1673603542/sinopsis-film-elvis-biografi-sang-legenda-king-rock-and-roll
1,userfiles/image/content_article/1673519331/1673519331.jpg?1673519331,"
SailGP Kapal Kecepatan Tinggi yang didorong Oleh Angin
",SPORTS,Kamis 12 Januari 2023 17:27 WIB,https://www.mncvision.id/article/read/content_article/1673519331/sailgp-kapal-kecepatan-tinggi-yang-didorong-oleh-angin
2,userfiles/image/content_article/1673433053/1673433053.jpg?1673433053,"
5 Tayangan Unggulan di Saluran Hits Movie Bulan Januari
",ENTERTAINMENT,Rabu 11 Januari 2023 17:27 WIB,https://www.mncvision.id/article/read/content_article/1673433053/5-tayangan-unggulan-di-saluran-hits-movie-bulan-januari
3,userfiles/image/content_article/1673349958/1673349958.jpg?1673349958,"
Jadwal Piala Super Spanyol 2023 Live di RCTI
",SPORTS,Selasa 10 Januari 2023 18:23 WIB,https://www.mncvision.id/article/read/content_article/1673349958/jadwal-piala-super-spanyol-2023-live-di-rcti
4,userfiles/image/content_article/1673335038/1673335038.jpg?1673335038,"
Crime Investigation Saluran yang Mengungkap Kasus Misteri
",ENTERTAINMENT,Selasa 10 Januari 2023 13:59 WIB,https://www.mncvision.id/article/read/content_article/1673335038/crime-investigation-saluran-yang-mengungkap-kasus-misteri
5,userfiles/image/content_article/1673004572/1673004572.jpg?1673004572,"
Malaysia Open 2023, Indonesia Targetkan Juara Ganda Putra
",SPORTS,Jumat 06 Januari 2023 18:28 WIB,https://www.mncvision.id/article/read/content_article/1673004572/malaysia-open-2023-indonesia-targetkan-juara-ganda-putra
6,userfiles/image/content_article/1672919048/1672919048.jpg?1672919048,"
Tayangan Unggulan Bulan Januari, Temani Imlek di Rumah
",ENTERTAINMENT,Kamis 05 Januari 2023 18:41 WIB,https://www.mncvision.id/article/read/content_article/1672919048/tayangan-unggulan-bulan-januari-temani-imlek-di-rumah
7,userfiles/image/content_article/1672828945/1672828945.jpg?1672828945,"
Jadwal Copa Del Rey: Kompetisi Sepak Bola Tahunan Spanyol
",SPORTS,Rabu 04 Januari 2023 17:39 WIB,https://www.mncvision.id/article/read/content_article/1672828945/jadwal-copa-del-rey-kompetisi-sepak-bola-tahunan-spanyol
8,userfiles/image/content_article/1672739819/1672739819.jpg?1672739820,"
5 Tayangan Unggulan di Channel Animax Bulan Januari
",ENTERTAINMENT,Selasa 03 Januari 2023 16:54 WIB,https://www.mncvision.id/article/read/content_article/1672739819/5-tayangan-unggulan-di-channel-animax-bulan-januari
9,userfiles/image/content_article/1672648524/1672648524.jpg?1672648524,"
Indonesia vs Filipina : Siaran Langsung di Soccer Channel
",SPORTS,Senin 02 Januari 2023 15:32 WIB,https://www.mncvision.id/article/read/content_article/1672648524/indonesia-vs-filipina-siaran-langsung-di-soccer-channel
